File	ALIGNMENT_PERCENT_BLANKS_MARKER	ALIGNMENT_BLANKS_COUNT	ALIGNMENT_GAPS_COUNT	ALIGNMENT_ROWS_COUNT	ALIGNMENT_COLUMNS_COUNT	ALIGNMENT_AVERAGE_GAPS_PER_SEQUENCE	ALIGNMENT_AVERAGE_GAP_LENGTH	ALIGNMENT_STDDEV_GAP_LENGTH	ALIGNMENT_MEDIAN_GAP_LENGTH	ALIGNMENT_MNHD	ALIGNMENT_ANHD
./aln_stats/moderate_dense_TRUE_8.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.336	0.1922104456
./aln_stats/small_sparse_TRUE_2.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.134	0.05562938776
./aln_stats/large_sparse_TRUE_11.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.356	0.2364326531
./aln_stats/large_sparse_TRUE_8.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.374	0.2606481633
./aln_stats/small_sparse_TRUE_20.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.136	0.05865142857
./aln_stats/moderate_sparse_TRUE_9.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.286	0.1863020408
./aln_stats/large_dense_TRUE_16.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.418	0.2565791968
./aln_stats/moderate_dense_TRUE_2.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.344	0.1962336783
./aln_stats/small_sparse_TRUE_11.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.116	0.04958204082
./aln_stats/moderate_sparse_TRUE_20.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.288	0.2015216327
./aln_stats/moderate_dense_TRUE_7.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.34	0.1892655584
./aln_stats/small_sparse_TRUE_8.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.136	0.06273632653
./aln_stats/large_sparse_TRUE_19.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.366	0.2448767347
./aln_stats/moderate_dense_TRUE_1.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.378	0.2084613227
./aln_stats/small_dense_TRUE_12.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.154	0.04909416983
./aln_stats/moderate_sparse_TRUE_13.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.296	0.1996767347
./aln_stats/large_dense_TRUE_12.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.408	0.2433576424
./aln_stats/moderate_dense_TRUE_12.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.358	0.1992496743
./aln_stats/small_dense_TRUE_2.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.188	0.04834854346
